Size of Matrix (n), 10-precision-relativeError, 20-precision-relativeError, 30-precision-relativeError
10, 6.5694e-07, 1.7774e-12, 7.8136e-16
13, 3.6138e-06, 1.4444e-11, 6.2670e-15
17, 1.9673e-06, 5.9302e-12, 3.0412e-15
22, 2.3689e-06, 1.4247e-11, 2.0785e-15
29, 1.6125e-05, 4.3409e-11, 1.2789e-14
38, 4.6719e-06, 1.8180e-11, 1.4821e-14
50, 1.9747e-05, 1.2080e-10, 1.0554e-14
66, 1.4606e-05, 8.0084e-11, 9.6685e-15
88, 2.0649e-04, 1.8019e-09, 5.1379e-14
117, 1.9290e-05, 8.6165e-11, 4.4422e-14
156, 7.5990e-06, 3.8109e-11, 3.0702e-14
208, 2.2672e-04, 8.3394e-10, 7.7608e-13
277, 3.0997e-05, 1.4435e-10, 1.7253e-13
369, 2.6372e-05, 1.3117e-10, 1.1017e-13
492, 7.7066e-05, 4.7251e-10, 2.1061e-13
656, 2.0061e-04, 9.4839e-10, 2.8712e-13
874, 2.8778e-04, 1.9531e-09, 5.0986e-13
1165, 1.3847e-03, 8.3255e-09, 1.5407e-12
1553, 3.4526e-04, 2.1349e-09, 7.1834e-13
2070, 3.6578e-03, 2.4339e-08, 7.8352e-12
2760, 9.3182e-04, 4.7903e-09, 2.6010e-12
3680, 1.5799e-03, 1.1815e-08, 2.7627e-12
4906, 4.4346e-03, 2.5992e-08, 3.1626e-12
6541, 2.4348e-02, 1.3313e-07, 7.8139e-12
8721, 4.9428e-03, 3.0209e-08, 8.3216e-12
